pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"TOI-942 b","TOI-942","K2.5 V",4969.00,3.89000000,16.00000000,4.32421000000,0.00001900000,3.4032000,0.14800000,2458441.57900000,0.00210000,76.6496172,-20.2456126,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-156 b","Kepler-156",,5094.00,2.30000000,5.90000000,4.97345600000,0.00000800000,1.5790000,0.07416000,2455003.88529000,0.00089000,290.2964214,37.7494271,"Kepler"
"TOI-5800 b","TOI-5800","K3 V",4850.00,2.46000000,9.50000000,2.62788380000,0.00000370000,1.2000000,0.07312083,2459771.71450000,0.00130000,305.0655462,-7.4119237,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 97658 b","HD 97658","K1 V",5212.00,2.12000000,8.30000000,9.48971160000,0.00000080000,2.8488000,0.07120000,2458904.93660000,0.00080000,168.6376584,25.7105962,"W. M. Keck Observatory"
"TOI-1346 b","TOI-1346",,5099.00,2.39000000,6.30000000,1.76225380000,0.00000470000,0.8779711,0.07335551,2459978.02390000,0.00220000,256.6226752,68.8433031,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4155 b","TOI-4155",,5724.00,3.21000000,10.40000000,3.32072900000,0.00005800000,2.4870000,0.09400000,2459803.93840000,0.00220000,325.6362269,77.7343836,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-971 b","Kepler-971",,5431.00,2.13000000,5.18000000,9.59070716000,0.00002320000,3.4847000,0.05548000,2454965.68117000,0.00202000,284.0945699,41.1828131,"Kepler"
"Kepler-112 b","Kepler-112",,5544.00,2.36000000,6.17000000,8.40887800000,0.00001000000,3.4850000,0.07989000,2454967.00620000,0.00069000,296.9811361,43.2097025,"Kepler"
"TOI-1438 b","TOI-1438","K0 V",5230.00,3.04000000,9.40000000,5.13967000000,0.00000300000,1.0400000,0.07695997,2458683.62560000,0.00070000,280.9237844,74.9378327,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4010 b","TOI-4010","K V",4960.00,3.02000000,11.00000000,1.34833500000,0.00000300000,1.7700000,0.12063536,2459007.54900000,0.00100000,20.2148196,66.0722009,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1724 b","Kepler-1724",,6092.00,2.83677238,8.43000000,6.45442009000,,2.6772000,0.05861000,2455006.21478000,0.00146000,296.1207272,47.9214736,"Kepler"
"K2-73 b","K2-73",,5867.00,2.58000000,9.20000000,7.49556000000,0.00029000000,3.5904000,0.05800000,2456987.67260000,0.00120000,335.0256620,-9.0560881,"K2"
"Kepler-1530 d","Kepler-1530",,5678.00,3.27870115,10.80000000,9.20761013000,,2.8892000,0.12431000,2454968.80100000,0.03170000,288.1624396,48.1651530,"Kepler"
"HD 63433 b","HD 63433","G5 V",5553.00,2.14000000,21.75500000,7.10794750000,0.00000890000,3.2441716,0.05016058,2458845.37281800,0.00082290,117.4793699,27.3631342,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-608 b","Kepler-608",,5820.00,3.64000000,12.90000000,6.41251503700,0.00000541600,5.3087000,0.11564000,2455002.87959000,0.00067000,293.8829010,44.6380717,"Kepler"
"Kepler-900 b","Kepler-900",,4836.00,2.08000000,4.98000000,6.99130860000,0.00001434000,2.2124000,0.05554000,2454968.46263000,0.00151000,296.1772720,46.9989635,"Kepler"
"Kepler-1946 b","Kepler-1946",,5505.00,2.48812698,6.75000000,3.03519010500,,0.6182000,0.06969000,2454965.32910000,0.00134000,282.3355387,42.8453417,"Kepler"
